"Name","Last Name","Gender","Nationality","Occupation","Birth Year","Death Year","Age","Rating"
"George","Smithington","Male","United States of America; Kingdom of Great Britain","Politician","1732","1799","67","5"
"Douglas","Adamsmith","Male","United Kingdom","Artist","1952","2001","49","4.9"
"Abraham","Smithcoln","Male","United States of America","Politician","1809","1865","56","4.8"
"Wolfgang","Amadeus Motzsmith","Male","Archduchy of Austria; Archbishopric of Salzburg","Artist","1756","1791","35","4.7"
"Ludwig","van Beetsmith","Male","Holy Roman Empire; Austrian Empire","Artist","1770","1827","57","4.6"
"El","Smitho","Male","Spain; Republic of Venice","Artist","1541","1614","73","4.2"
"Elvis","Smithley","Male","United States of America","Artist","1935","1977","42","4.1"
"Galileo","Galismith","Male","Grand Duchy of Tuscany; Duchy of Florence","Astronomer","1564","1642","78","5"
"Patricio Aylwin","Smith","Male","Chile","Politician","1918","2016","98","4.9"
"Louis IX of France","Smith","Male","France","Ruler","1214","1270","56","4.8"
"Adolf Hitler","Smith","Male","Nazi Germany; Austria-Hungary; Weimar Republic; Republic of German-Austria; First Republic of Austria","Statesperson","1889","1945","56","4.7"
"Blanche of Castile","Smith","Female","Kingdom of Castile","Regent","1188","1252","64","4.6"
"Piet Kraak","Smith","Male","Kingdom of the Netherlands","Athlete","1921","1984","63","4.5"
"Augusto Pinochet","Smith","Male","Chile","Politician","1915","2006","91","4.3"
"Yanka Kupala","Smith","Male","Byelorussian Soviet Socialist Republic; Russian Empire; Belarusian People's Republic","Artist","1882","1942","60","4.2"
"Linda Lovelace","Smith","Female","United States of America","Artist","1949","2002","53","4.1"
"Bob Marley","Smith","Male","Jamaica","Artist","1945","1981","36","2.4"
"Carl Sagan","Smith","Male","United States of America","Researcher","1934","1996","62","5"
"Salvador Allende","Smith","Male","Chile","Politician","1908","1973","65","4.9"
"Denis Diderot","Smith","Male","France; Kingdom of France","Researcher","1713","1784","71","4.8"
"Georges Brassens","Smith","Male","France","Artist","1921","1981","60","4.7"
"Philipp Ludwig von Seidel","Smith","Male","German Empire; German Confederation","Researcher","1821","1896","75","4.6"
"Eduardo Frei Montalva","Smith","Male","Chile","Politician","1911","1982","71","4.5"
"Arthur Rimbaud","Smith","Male","France; French Third Republic; Second French Empire","Artist","1854","1891","37","4.3"
"Charles Baudelaire","Smith","Male","France","Artist","1821","1867","46","3.9"
"Stendhal","Smith","Male","France","Artist","1783","1842","59","3.8"
"Vladimir Vysotsky","Smith","Male","Soviet Union","Artist","1938","1980","42","3.7"
"Napoleon","Smith","Male","France","Politician","1769","1821","52","3.6"
"Louis Pasteur","Smith","Male","France","Researcher","1822","1895","73","3.5"
"Victor Hugo","Smith","Male","France","Artist","1802","1885","83","3.4"
"Giuseppe Garibaldi","Smith","Male","French Third Republic; First French Empire; Riograndense Republic; Kingdom of Sardinia; Kingdom of Italy","Artist","1807","1882","75","3.3"
"Claude Bourgelat","Smith","Male","Kingdom of France","Artist","1712","1779","67","3.2"
"Pierre Poivre","Smith","Male","Kingdom of France","Researcher","1719","1786","67","3.1"
"Jorge Alessandri","Smith","Male","Chile","Politician","1896","1986","90","3"
"Nicolaus Copernicus","Smith","Male","Kingdom of Poland","Researcher","1473","1543","70","3.9"
"Jean Moulin","Smith","Male","France","Official; french resistance fighter","1899","1943","44","3.8"
"Cleopatra","Smith","Female","Ancient Egypt","Sovereign","-69","-30","39","3.7"
"Friedrich Theodor Vischer","Smith","Male","Germany","Researcher","1807","1887","80","3.6"
"Alessandro Volta","Smith","Male","Duchy of Milan; Kingdom of Lombardyâ€“Venetia; Cisalpine Republic; Kingdom of Italy","Researcher","1745","1827","82","3.5"
"William Shakespeare","Smith","Male","Kingdom of England","Playwright","1564","1616","52","3.4"
"Genghis Khan","Smith","Male","Mongol Empire","Military personnel","1162","1227","65","3.3"
"Jean Racine","Smith","Male","Kingdom of France","Researcher","1639","1699","60","3.2"
"Pierre Corneille","Smith","Male","Kingdom of France","Artist","1606","1684","78","3.1"
"Paul Verlaine","Smith","Male","France","Artist","1844","1896","52","3"
"Leonardo da Vinci","Smith","Male","Republic of Florence","Researcher","1452","1519","67","2.4"
"Dario Fo","Smith","Male","Italy","Artist","1926","2016","90","3.9"
"Juan Antonio Rios","Smith","Male","Chile","Politician","1888","1946","58","3.8"
"Mikhail Bulgakov","Smith","Male","Soviet Union; Russian Empire","Artist","1891","1940","49","3.7"
"Andrei Rublev","Smith","Male","Grand Duchy of Moscow","Artist","1360","1428","68","3.6"
"Pedro Aguirre Cerda","Smith","Male","Chile","Politician","1879","1941","62","3.5"
"Arturo Alessandri","Smith","Male","Chile","Politician","1868","1950","82","3.4"
"Andrei Tarkovsky","Smith","Male","Soviet Union","Artist","1932","1986","54","3.3"
"Joseph Stalin","Smith","Male","Soviet Union; Russian Empire; Russian Soviet Federative Socialist Republic","Politician","1879","1953","74","3.2"
"Juan Luis Sanfuentes","Smith","Male","Chile","Politician","1858","1930","72","3.1"
"Plato","Smith","Male","Classical Athens","Artist","-427","-347","80","3"
"Joseph Brodsky","Smith","Male","United States of America; Soviet Union","Artist","1940","1996","56","3.5"
"Charlie Chaplin","Smith","Male","United Kingdom","Artist","1889","1977","88","2"
"Franz Kafka","Smith","Male","Austria-Hungary; Czechoslovakia","Artist","1883","1924","41","2.9"
"Jorge Luis Borges","Smith","Male","Argentina","Researcher","1899","1986","87","2.8"
"Socrates","Smith","Male","Classical Athens","Philosopher","-470","-399","71","2.7"
"J. Bernlef","Smith","Male","Kingdom of the Netherlands","Artist","1937","2012","75","2.6"
"Roald Amundsen","Smith","Male","Norway","Researcher","1872","1928","56","2.5"
"Harry Mulisch","Smith","Male","Kingdom of the Netherlands","Artist","1927","2010","83","2.4"
"Konstantin Melnikov","Smith","Male","Soviet Union; Russian Empire","Artist","1890","1974","84","2.3"
"Isaac Newton","Smith","Male","Kingdom of Great Britain; Kingdom of England","Researcher","1642","1727","85","2.2"
"Albert Einstein","Smith","Male","United States of America; Switzerland; Austria-Hungary; Weimar Republic; German Empire","Researcher","1879","1955","76","2.1"
"Pedro I of Brazil","Smith","Male","Kingdom of Portugal; Empire of Brazil","Artist","1798","1834","36","2"
"John Bardeen","Smith","Male","United States of America","Researcher","1908","1991","83","2.9"
"Miles Franklin","Smith","Female","Austria; Australia","Artist","1879","1954","75","2.8"
"John Paul II","Smith","Male","Poland","Researcher","1920","2005","85","2.7"
"Fyodor Dostoyevsky","Smith","Male","Russian Empire","Artist","1821","1881","60","2.6"
"Andrei Sakharov","Smith","Male","Soviet Union; Russian Soviet Federative Socialist Republic","Researcher","1921","1989","68","2.5"
"Mahatma Gandhi","Smith","Male","British Raj; Dominion of India","Artist","1869","1948","79","2.4"
"Charles Darwin","Smith","Male","United Kingdom of Great Britain and Ireland","Researcher","1809","1882","73","2.3"
"Carl Linnaeus","Smith","Male","Sweden","Researcher","1707","1778","71","2.2"
"Ivan Regen","Smith","Male","Austria-Hungary","Researcher","1868","1947","79","2.1"
"Italo Balbo","Smith","Male","Kingdom of Italy","Politician","1896","1940","44","2"
"Alessandro Manzoni","Smith","Male","Kingdom of Sardinia; Kingdom of Italy","Artist","1785","1873","88","4.9"
"Dante Alighieri","Smith","Male","Republic of Florence","Artist","1265","1321","56","4.2"
"Jean-Philippe Rameau","Smith","Male","Kingdom of France","Artist","1683","1764","81","2.9"
"Indira Gandhi","Smith","Female","India; British Raj","Politician","1917","1984","67","2.8"
"Hector Berlioz","Smith","Male","France","Artist","1803","1869","66","2.7"
"Maurice Ravel","Smith","Male","France","Artist","1875","1937","62","2.6"
"Jean-Baptiste Lully","Smith","Male","Kingdom of France; Grand Duchy of Tuscany","Artist","1632","1687","55","2.5"
"John Lennon","Smith","Male","United Kingdom","Artist","1940","1980","40","2.4"
"Hubert Salentin","Smith","Male","German Empire","Artist","1822","1910","88","2.3"
"Carlo Azeglio Ciampi","Smith","Male","Italy; Kingdom of Italy","Politician","1920","2016","96","2.2"
"Oscar Luigi Scalfaro","Smith","Male","Italy; Kingdom of Italy","Politician","1918","2012","94","2.1"
"Francesco Cossiga","Smith","Male","Italy; Kingdom of Italy","Politician","1928","2010","82","2"
"Sandro Pertini","Smith","Male","Italy; Kingdom of Italy","Politician","1896","1990","94","3"
"Giovanni Leone","Smith","Male","Italy; Kingdom of Italy","Politician","1908","2001","93","2"
"Giuseppe Saragat","Smith","Male","Italy; Kingdom of Italy","Politician","1898","1988","90","1"
"Antonio Segni","Smith","Male","Italy; Kingdom of Italy","Politician","1891","1972","81","4"
"Giovanni Gronchi","Smith","Male","Italy; Kingdom of Italy","Politician","1887","1978","91","3"
"Luigi Einaudi","Smith","Male","Italy; Kingdom of Italy","Researcher","1874","1961","87","2.9"
"Enrico de Nicola","Smith","Male","Italy; Kingdom of Italy","Politician","1877","1959","82","2.8"
"Kofi Annan","Smith","Male","Ghana","Politician","1938","2018","80","2.7"
"Boutros Boutros-Ghali","Smith","Male","Egypt","Artist","1922","2016","94","2.6"
"Kurt Waldheim","Smith","Male","Austria; Nazi Germany; Federal State of Austria; Republic of German-Austria; First Republic of Austria","Politician","1918","2007","89","2.5"
"Trygve Lie","Smith","Male","Norway","Politician","1896","1968","72","2.4"
"Gladwyn Jebb","Smith","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Politician","1900","1996","96","2.3"
"Leonard Cohen","Smith","Male","Canada","Artist","1934","2016","82","2.2"
"Blaise Pascal","Smith","Male","Kingdom of France","Researcher","1623","1662","39","2.1"
"Pedro Montt","Smith","Male","Chile","Politician","1849","1910","61","2"
"Saddam Hussein","Smith","Male","Iraq","Politician","1937","2006","69","1"
"Osama bin Laden","Smith","Male","Saudi Arabia; statelessness","Businessperson","1957","2011","54","4"
"Jorge Montt","Smith","Male","Chile","Politician","1845","1922","77","3"
"Friedrich Hayek","Smith","Male","Austria; United Kingdom","Researcher","1899","1992","93","2"
"Manuel Montt","Smith","Male","Chile","Politician","1809","1880","71","1"
"Manuel Bulnes","Smith","Male","Chile","Politician","1799","1866","67","4"
"Manuel Blanco Encalada","Smith","Male","Argentina","Politician","1790","1876","86","3"
"Francisco Antonio Pinto","Smith","Male","Chile","Politician","1785","1858","73","2"
"Johann Sebastian Bach","Smith","Male","Holy Roman Empire","Artist","1685","1750","65","1"
"Antonio Vivaldi","Smith","Male","Republic of Venice","Artist","1678","1741","63","2.9"
"Dave Arneson","Smith","Male","United States of America","Game designer; role-playing game designer","1947","2009","62","2.8"
"Vladimir Lenin","Smith","Male","Russian Soviet Federative Socialist Republic; Soviet Union; Russian Empire","Politician","1870","1924","54","2.7"
"Luigi Pirandello","Smith","Male","Kingdom of Italy","Artist","1867","1936","69","2.6"
"Ferdinand Marcos","Smith","Male","Philippines","Politician","1917","1989","72","2.5"
"M. C. Escher","Smith","Male","Kingdom of the Netherlands","Artist","1898","1972","74","2.4"
"Corazon Aquino","Smith","Female","Philippines","Politician","1933","2009","76","2.3"
"Robert Brasillach","Smith","Male","France","Artist","1909","1945","36","2.2"
"Ferdinand Magellan","Smith","Male","Kingdom of Portugal","Explorer","1480","1521","41","2.1"
"Manuel L. Quezon","Smith","Male","Philippines","Politician","1878","1944","66","2"
"Richard Wagner","Smith","Male","Germany","Artist","1813","1883","70","2"
"Robert Louis Stevenson","Smith","Male","United Kingdom of Great Britain and Ireland","Artist","1850","1894","44","1.9"
"Janis Joplin","Smith","Female","United States of America","Artist","1943","1970","27","1.8"
"Ramesses II","Smith","Male","Ancient Egypt","Statesperson","-1303","-1213","90","1.7"
"Ramesses III","Smith","Male","Ancient Egypt","Sovereign","-1217","-1155","62","1.6"
"Ramesses IV","Smith","Male","Ancient Egypt","Statesperson","-1200","-1149","51","1.5"
"Tony Garnier","Smith","Male","France","Architect","1869","1948","79","1.4"
"Georg Simon Ohm","Smith","Male","Germany; Kingdom of Bavaria","Researcher","1789","1854","65","1.3"
"Luigi Galvani","Smith","Male","Papal States","Researcher","1737","1798","61","1.2"
"Neil Armstrong","Smith","Male","United States of America","Teacher","1930","2012","82","1.2"
"Charles Lindbergh","Smith","Male","United States of America","Artist","1902","1974","72","1.9"
"David Cecil","Smith","Male","United Kingdom","Athlete","1905","1981","76","2.4"
"Adriaan Paulen","Smith","Male","Kingdom of the Netherlands","Athlete","1902","1985","83","3.4"
"Primo Nebiolo","Smith","Male","Italy; Kingdom of Italy","Athlete","1923","1999","76","3.5"
"Jacques Brel","Smith","Male","Belgium","Artist","1929","1978","49","3.9"
"Serge Gainsbourg","Smith","Male","France","Artist","1928","1991","63","3.8"
"Ella Fitzgerald","Smith","Female","United States of America","Artist","1917","1996","79","2"
"Brownie Mary","Smith","Female","United States of America","Activist","1922","1999","77","2.7"
"Louis Armstrong","Smith","Male","United States of America","Artist","1900","1971","71","4.3"
"Charles Aznavour","Smith","Male","France; Armenia","Artist","1924","2018","94","1.6"
"Jan I Carondelet","Smith","Male","Burgundian Netherlands","Politician","1428","1502","74","3"
"Claude I Carondelet","Smith","Male","France","Aristocrat","1467","1518","51","2"
"Jan II Carondelet","Smith","Male","Burgundian Netherlands","Politician","1469","1544","75","1"
"Daniel Balavoine","Smith","Male","France","Artist","1952","1986","34","4.7"
"Barbara","Smith","Female","France","Artist","1930","1997","67","3"
"Paul Otlet","Smith","Male","Belgium","Researcher","1868","1944","76","2"
"Stanley Kubrick","Smith","Male","United States of America","Athlete","1928","1999","71","1.9"
"Cesare Pavese","Smith","Male","Italy; Kingdom of Italy","Researcher","1908","1950","42","4"
"Giuseppe Farina","Smith","Male","Italy; Kingdom of Italy","Racing automobile driver","1906","1966","60","3"
"Charles de Gaulle","Smith","Male","France","Politician","1890","1970","80","2"
"Juan Manuel Fangio","Smith","Male","Argentina","Entrepreneur","1911","1995","84","1"
"Alberto Ascari","Smith","Male","Italy; Kingdom of Italy","Motorcycle racer; formula one driver","1918","1955","37","4.1"
"Mike Hawthorn","Smith","Male","United Kingdom","Formula one driver","1929","1959","30","3.1"
"Jacques Chirac","Smith","Male","France","Politician","1932","2019","87","2.1"
"Hans Schmidt","Smith","Male","Germany","Artist","1854","1923","69","1.1"
"Jack Brabham","Smith","Male","Australia","Athlete","1926","2014","88","5"
"Georges Pompidou","Smith","Male","France","Politician","1911","1974","63","4"
"Coluche","Smith","Male","France","Artist","1944","1986","42","3.4"
"Pierre Desproges","Smith","Male","France","Artist","1939","1988","49","1.7"
"Chet Baker","Smith","Male","United States of America","Artist","1929","1988","59","1.6"
